TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	INSKUDD	UTLAN	LANGTIDSOVERVAKET_FLG	PURRING_ANTALL_12MND	LO_MEDLEM_FLG	FAM_VOKSNE_ANT	FAM_BARN_ANT	ANT_INNLOGGINGER_MOBILBANK	ANT_INNLOGGINGER_NETTBANK	LONNSOMHET_PER_MND
20190329	2096	17466	193	720	0	NULL	0	2	0	65	0	527
20190329	2096	20180	339	643	0	NULL	0	2	0	0	6	1385
20190329	2096	16879	0	0	0	NULL	0	NULL	NULL	81	0	11
20190329	2096	5718	48	0	0	3	0	2	0	14	0	454
20190329	2096	7364	231	0	0	NULL	0	NULL	NULL	9	0	127
20190430	2096	15351	8	0	0	0	0	2	2	7	0	74
20190430	2096	582	0	0	0	NULL	0	NULL	NULL	0	0	-36006
20190329	2096	20591	310	0	0	NULL	0	NULL	NULL	0	1	592
20190430	2096	3091	74	1870	0	1	0	-2	0	0	4	529
20190329	2096	9752	332	0	0	NULL	0	-2	0	0	5	451
20190329	2096	3343	39	0	0	NULL	0	NULL	NULL	NULL	NULL	69
20190430	2096	18570	13	0	0	NULL	0	NULL	NULL	NULL	NULL	24
20190430	2096	11312	312	0	0	NULL	0	-2	0	0	5	300
20190329	2096	7167	0	0	0	NULL	0	NULL	NULL	6	0	-6
20190329	2096	11035	178	0	0	NULL	0	NULL	NULL	4	0	-70
20190430	2096	17142	20	0	0	NULL	0	-2	2	NULL	NULL	20
20190329	2096	11614	4	0	0	NULL	0	-2	2	107	0	177
20190329	2096	7498	522	0	0	NULL	1	-2	0	1	0	624
20190329	2096	20707	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190430	2096	12636	353	0	0	NULL	0	NULL	NULL	NULL	NULL	586
20190430	2096	8443	21	1345	0	1	0	NULL	NULL	18	3	939
20190329	2096	5222	214	0	0	NULL	0	2	2	25	0	435
20190329	2096	12971	124	0	0	NULL	0	2	0	15	2	212
20190329	2096	6745	2661	0	0	NULL	0	2	0	0	1	2257
20190329	2096	7268	901	0	0	NULL	0	NULL	NULL	0	1	850
20190329	2096	20533	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
