TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	ALDER	KJONN	DOD	KONKURS	SAMTYKKE_1_SVAR	SAMTYKKE_2_SVAR	HAR_EPOST	HAR_MOBIL	RESERVERT_MOT_MARKEDSFORING	RESERVERT_TELEFON_BRREG_FLG
20190329	2096	1	7	K	0	0	J	J	0	0	N	0
20190430	2096	1	7	K	0	0	J	J	0	0	N	0
20190430	2096	10	62	M	0	0	J	J	0	0	N	1
20190329	2096	10	62	M	0	0	J	J	0	0	N	1
20190329	2096	23	45	M	0	0	J	J	1	1	N	1
20190430	2096	23	45	M	0	0	J	J	1	1	N	1
20190430	2096	24	44	K	0	0	J	J	0	0	N	1
20190329	2096	24	44	K	0	0	J	J	1	1	N	1
20190329	2096	34	37	M	0	0	J	J	1	1	N	1
20190430	2096	34	37	M	0	0	J	J	1	1	N	1
20190430	2096	47	21	M	0	0	N	J	1	1	N	1
20190329	2096	47	21	M	0	0	N	J	1	1	N	1
20190329	2096	48	16	K	0	0	J	J	1	1	N	0
20190430	2096	48	16	K	0	0	J	J	1	1	N	0
20190430	2096	49	16	K	0	0	J	J	1	1	N	0
20190329	2096	49	16	K	0	0	J	J	1	1	N	0
20190329	2096	54	78	K	0	0	J	J	1	1	N	1
20190430	2096	54	78	K	0	0	J	J	1	1	N	1
20190430	2096	58	71	M	0	0	J	J	1	1	N	1
20190329	2096	58	71	M	0	0	J	J	1	1	N	1
20190430	2096	69	54	K	0	0	J	J	1	1	N	0
20190329	2096	69	54	K	0	0	J	J	1	1	N	0
20190329	2096	70	54	M	0	0	J	J	1	1	N	1
20190430	2096	70	54	M	0	0	J	J	1	1	N	1
20190430	2096	79	48	K	0	0	J	J	1	1	N	1
20190329	2096	79	48	K	0	0	J	J	1	1	N	1
20190329	2096	80	47	M	0	0	J	J	1	1	N	0
20190430	2096	80	47	M	0	0	J	J	1	1	N	0
20190329	2096	90	35	K	0	0	J	J	1	1	N	0
20190329	2096	96	28	M	0	0	J	J	0	0	N	0
20190329	2096	99	26	M	0	0	J	J	1	1	N	1
20190430	2096	99	26	M	0	0	J	J	1	1	N	1
20190430	2096	101	23	K	0	0	N	J	1	1	N	1
20190329	2096	101	23	K	0	0	N	J	1	1	N	1
20190329	2096	111	96	K	1	0	J	J	0	0	N	0
20190430	2096	111	96	K	1	0	J	J	0	0	N	0
20190430	2096	122	74	M	0	0	J	J	1	1	N	1
20190329	2096	122	74	M	0	0	J	J	1	1	N	1
20190329	2096	136	58	K	0	0	J	J	0	0	N	1
20190430	2096	136	58	K	0	0	J	J	0	0	N	1
20190430	2096	143	51	M	0	0	J	J	1	1	N	1
20190329	2096	143	51	M	0	0	J	J	1	1	N	1
20190329	2096	160	40	M	0	0	J	J	1	1	N	0
20190430	2096	160	40	M	0	0	J	J	1	1	N	0
20190430	2096	210	57	M	0	0	J	J	1	1	N	1
20190329	2096	210	57	M	0	0	J	J	1	1	N	1
20190329	2096	213	53	M	0	0	J	J	1	1	N	1
20190430	2096	213	53	M	0	0	J	J	1	1	N	1
20190329	2096	221	46	M	0	0	J	J	1	1	N	0
20190430	2096	221	46	M	0	0	J	J	1	1	N	0
20190430	2096	245	82	K	0	0	J	J	0	1	N	0
20190329	2096	245	81	K	0	0	J	J	0	1	N	0
20190329	2096	255	62	K	0	0	J	J	1	1	N	1
20190430	2096	255	63	K	0	0	J	J	1	1	N	1
20190430	2096	261	58	K	0	0	J	J	1	1	N	1
20190329	2096	261	57	K	0	0	J	J	1	1	N	1
20190329	2096	276	48	M	0	0	J	J	1	1	N	1
20190430	2096	276	49	M	0	0	J	J	1	1	N	1
20190430	2096	286	33	M	0	0	J	J	1	1	N	1
20190329	2096	286	32	M	0	0	J	J	1	1	N	1
20190329	2096	293	25	K	0	0	J	J	1	1	N	0
20190430	2096	293	26	K	0	0	J	J	1	1	N	0
20190430	2096	303	9	K	0	0	J	J	1	1	N	0
20190329	2096	303	9	K	0	0	J	J	1	1	N	0
20190329	2096	326	53	K	0	0	J	J	1	1	N	1
20190430	2096	326	53	K	0	0	J	J	1	1	N	1
20190430	2096	337	39	K	0	0	J	J	1	1	N	1
20190329	2096	337	39	K	0	0	J	J	1	1	N	1
20190329	2096	352	28	K	0	0	J	J	1	1	N	0
20190430	2096	352	28	K	0	0	J	J	1	1	N	0
20190430	2096	373	87	M	0	0	J	J	0	1	N	0
20190329	2096	373	87	M	0	0	J	J	0	1	N	0
20190329	2096	19	53	K	0	0	J	J	1	1	N	1
20190430	2096	19	53	K	0	0	J	J	1	1	N	1
20190430	2096	27	44	M	0	0	J	J	1	0	N	1
20190329	2096	27	44	M	0	0	J	J	1	0	N	1
20190329	2096	42	29	M	0	0	J	J	1	1	N	1
