,INSKUDD,UTLAN,PURRING_ANTALL_12MND,ALDER,KJONN,HAR_MOBIL,LONNSOMHET_PER_MND_TYPE
0,19.0,0.0,0,7,0,0,Good
1,19.0,0.0,0,7,0,0,Good
2,788.0,0.0,0,85,1,1,Good
3,782.0,0.0,0,85,1,1,Good
4,15.0,0.0,0,78,0,0,Good
5,0.0,0.0,0,78,0,0,Bad
6,179.0,0.0,0,70,0,1,Good
7,181.0,0.0,0,70,0,1,Good
8,1312.0,0.0,0,67,0,1,Good
9,1306.0,0.0,0,67,0,1,Good
10,132.0,0.0,0,64,1,1,Good
11,136.0,0.0,0,64,1,1,Good
12,476.0,0.0,0,64,0,1,Good
13,474.0,0.0,0,64,0,1,Good
14,11.0,222.0,0,63,1,1,Good
15,7.0,222.0,0,63,1,1,Good
16,167.0,0.0,0,62,0,1,Good
17,174.0,0.0,0,62,0,1,Good
18,0.0,0.0,0,62,1,0,Bad
19,0.0,0.0,0,62,1,0,Bad
20,212.0,0.0,0,62,1,1,Good
21,189.0,0.0,0,62,1,1,Good
22,0.0,0.0,0,61,0,1,Good
23,0.0,0.0,0,61,0,1,Good
24,62.0,1102.0,0,57,1,1,Good
25,60.0,1092.0,0,57,1,1,Good
26,190.53660414718664,422.60150706781803,0,56,0,0,Good
27,1.0,0.0,0,55,1,0,Good
28,1.0,0.0,0,55,1,0,Good
29,0.0,0.0,0,54,1,1,Good
30,0.0,0.0,0,54,1,1,Good
31,187.0,239.0,0,54,1,1,Good
32,178.0,224.0,0,54,1,1,Good
33,0.0,0.0,0,54,0,1,Good
34,0.0,0.0,0,54,0,1,Good
35,0.0,0.0,0,53,0,1,Good
36,0.0,0.0,0,53,0,1,Good
37,16.0,0.0,0,53,0,1,Good
38,16.0,0.0,0,53,0,1,Good
39,0.0,0.0,0,51,1,1,Good
40,190.53660414718664,422.60150706781803,0,49,0,0,Good
41,190.53660414718664,422.60150706781803,0,49,0,0,Good
42,190.53660414718664,422.60150706781803,0,45,1,1,Good
43,190.53660414718664,422.60150706781803,0,45,1,1,Good
44,0.0,0.0,0,44,0,1,Good
45,0.0,0.0,0,44,0,0,Good
46,0.0,0.0,0,44,0,1,Good
47,0.0,0.0,0,44,0,1,Good
48,11.0,0.0,0,44,1,1,Good
49,12.0,0.0,0,44,1,1,Good
50,190.53660414718664,422.60150706781803,0,44,1,0,Good
51,190.53660414718664,422.60150706781803,0,44,1,0,Good
52,21.0,657.0,0,43,1,1,Good
53,11.0,655.0,0,43,1,1,Good
54,0.0,0.0,0,42,0,0,Good
55,0.0,0.0,0,42,0,0,Bad
56,1269.0,4480.0,0,42,1,1,Good
57,1167.0,4461.0,0,42,1,1,Good
58,310.0,0.0,0,39,1,1,Good
59,310.0,0.0,0,39,1,1,Good
60,0.0,1085.0,0,39,0,1,Good
61,0.0,1079.0,0,39,0,1,Good
62,26.0,3823.0,0,38,1,1,Good
63,35.0,3814.0,0,38,1,1,Good
64,75.0,0.0,0,37,1,1,Good
65,54.0,0.0,0,37,1,1,Good
66,190.53660414718664,422.60150706781803,0,36,0,1,Good
67,190.53660414718664,422.60150706781803,0,36,0,1,Good
68,25.0,1224.0,0,34,1,1,Good
69,20.0,1217.0,0,34,1,1,Good
70,0.0,0.0,0,34,1,1,Good
71,0.0,0.0,0,34,1,1,Good
72,190.53660414718664,422.60150706781803,0,33,1,0,Good
73,190.53660414718664,422.60150706781803,0,33,1,0,Good
74,363.0,0.0,0,33,0,1,Good
75,364.0,0.0,0,33,0,1,Good
76,0.0,0.0,0,30,1,1,Bad
77,0.0,0.0,0,30,1,1,Bad
78,94.0,59.0,0,29,1,1,Good
79,90.0,55.0,0,29,1,1,Good
80,946.0,0.0,0,29,1,1,Good
81,956.0,0.0,0,29,1,1,Good
82,0.0,0.0,0,27,1,1,Good
83,0.0,0.0,0,27,1,1,Good
84,6.0,1278.0,0,27,1,1,Good
85,6.0,1276.0,0,27,1,1,Good
86,36.0,1732.0,0,27,1,1,Good
87,0.0,0.0,0,27,1,1,Good
88,166.0,0.0,0,22,0,1,Good
89,163.0,0.0,0,22,0,1,Good
90,0.0,0.0,0,21,1,1,Bad
91,0.0,0.0,0,21,1,1,Bad
92,90.0,0.0,0,16,0,1,Good
93,91.0,0.0,0,16,0,1,Good
94,6.0,0.0,0,16,0,1,Good
95,7.0,0.0,0,16,0,1,Good
96,8.0,0.0,0,8,1,0,Good
97,8.0,0.0,0,8,1,0,Bad
98,21.0,0.0,0,6,0,0,Good
99,21.0,0.0,0,6,0,0,Good
100,190.53660414718664,422.60150706781803,0,6,0,0,Good
101,190.53660414718664,422.60150706781803,0,6,0,0,Good
102,170.0,90.0,0,87,0,1,Good
103,172.0,90.0,0,87,0,1,Good
104,12.0,0.0,0,78,0,1,Good
105,7.0,0.0,0,78,0,1,Good
106,1840.0,0.0,0,76,0,1,Good
107,1838.0,0.0,0,76,0,1,Good
108,626.0,0.0,0,75,1,1,Good
109,607.0,0.0,0,75,1,1,Good
110,1929.0,0.0,0,73,0,0,Good
111,1929.0,0.0,0,73,0,0,Good
112,0.0,0.0,0,71,1,1,Good
113,0.0,0.0,0,71,1,1,Good
114,39.0,0.0,0,69,1,1,Good
115,34.0,0.0,0,69,1,1,Good
116,138.0,0.0,0,68,1,1,Good
117,162.0,0.0,0,68,1,1,Good
118,126.0,0.0,0,68,1,1,Good
119,108.0,0.0,0,68,1,1,Good
120,190.53660414718664,422.60150706781803,0,63,0,1,Good
121,190.53660414718664,422.60150706781803,0,63,0,1,Good
122,105.0,138.0,0,63,0,1,Good
123,105.0,133.0,0,63,0,1,Good
124,188.0,0.0,0,62,0,1,Good
125,185.0,0.0,0,62,0,1,Good
126,16.0,0.0,0,61,0,1,Good
127,16.0,0.0,0,61,0,1,Good
128,211.0,1300.0,0,57,1,1,Good
129,196.0,1304.0,0,57,1,1,Good
130,0.0,0.0,0,54,1,0,Bad
131,0.0,0.0,0,54,1,0,Bad
132,296.0,2610.0,0,54,0,1,Good
